ac_number,constituency,,male,female,third_gender,total
1,Gummidipoondi,,123403,130736,36,254175
2,Ponneri,,122315,129071,35,251421
3,Tiruttani,,130026,132449,25,262500
4,Thiruvallur,,122289,128786,36,251111
5,Poonamallee,,179193,189432,69,368694
6,Avadi,,213438,223008,76,436522
7,Maduravoyal,,183998,189242,81,373321
8,Ambattur,,165415,171608,58,337081
9,Madavaram,,211303,220482,81,431866
10,Thiruvottiyur,,119231,125579,121,244931
11,Dr.Radhakrishnan Nagar,,95281,104017,96,199394
12,Perambur,,109732,116540,73,226345
13,Kolathur,,101844,109953,36,211833
14,Villivakkam,,78710,84673,33,163416
15,Thiru-Vi-Ka-Nagar,,87116,94479,63,181658
16,Egmore,,67560,71179,57,138796
17,Royapuram,,77226,82388,58,159672
18,Harbour,,59785,60300,57,120142
19,Chepauk-Thiruvallikeni,,80462,85529,59,166050
20,Thousand Lights,,75257,82225,69,157551
21,Anna Nagar,,90874,97986,48,188908
22,Virugampakkam,,97011,103564,52,200627
23,Saidapet,,98561,105554,62,204177
24,Thiyagarayanagar,,76541,82216,34,158791
25,Mylapore,,95298,104174,24,199496
26,Velachery,,104934,112227,47,217208
27,Shozhinganallur,,270734,283128,116,553978
28,Alandur,,146303,154782,42,301127
29,Sriperumbudur,,184620,197124,63,381807
30,Pallavaram,,164387,172613,24,337024
31,Tambaram,,160542,169588,51,330181
32,Chengalpattu,,181113,191719,57,372889
33,Thiruporur,,143284,151114,54,294452
34,Cheyyur,,100967,103062,20,204049
35,Madurantakam,,104522,108079,65,212666
36,Uthiramerur,,119629,126557,62,246248
37,Kancheepuram,,134971,143833,37,278841
38,Arakkonam,,97891,103069,26,200986
39,Sholingur,,127210,130854,12,258076
40,Katpadi,,111580,118535,33,230148
41,Ranipet,,120877,128040,45,248962
42,Arcot,,121352,125406,28,246786
43,Vellore,,103632,111267,47,214946
44,Anaikattu,,117577,123020,43,240640
45,Kilvaithinankuppam,,107004,110009,8,217021
46,Gudiyattam,,122808,129222,34,252064
47,Vaniyambadi,,120350,122919,51,243320
48,Ambur,,104747,110110,41,214898
49,Jolarpet,,118010,119435,20,237465
50,Tiruppattur(AC-50),,113338,113985,29,227352
51,Uthangarai,,118275,117609,41,235925
52,Bargur,,119224,121235,17,240476
53,Krishnagiri,,132866,136467,61,269394
54,Veppanahalli,,125068,121633,38,246739
55,Hosur,,171306,171662,72,343040
56,Thalli,,120911,117013,37,237961
57,Palacodu,,121408,119432,21,240861
58,Pennagaram,,128018,120805,9,248832
59,Dharmapuri,,130887,130008,84,260979
60,Pappireddipatti,,128665,128337,14,257016
61,Harur,,122608,123339,24,245971
62,Chengam,,134094,135316,13,269423
63,Tiruvannamalai,,121132,128846,48,250026
64,Kilpennathur,,119081,122113,15,241209
65,Kalasapakkam,,115844,117733,18,233595
66,Polur,,116131,118949,11,235091
67,Arani,,125648,130788,38,256474
68,Cheyyar,,118003,121996,9,240008
69,Vandavasi,,105468,108101,5,213574
70,Gingee,,120357,122606,29,242992
71,Mailam,,104130,104949,19,209098
72,Tindivanam,,107538,111751,11,219300
73,Vanur,,102776,107093,16,209885
74,Viluppuram,,119713,126205,76,245994
75,Vikravandi,,112953,116200,29,229182
76,Tirukkoyilur,,122277,121092,35,243404
77,Ulundurpettai,,150496,150249,44,300789
78,Rishivandiyam,,136706,136884,51,273641
79,Sankarapuram,,131559,134400,44,266003
80,Kallakurichi,,139007,142547,68,281622
81,Gangavalli,,106406,111962,7,218375
82,Attur,,110787,117410,22,228219
83,Yercaud,,133812,139107,18,272937
84,Omalur,,150257,144584,22,294863
85,Mettur,,129034,126820,15,255869
86,Edappadi,,139764,136678,30,276472
87,Sankari,,131472,129088,30,260590
88,Salem (West),,128491,129485,64,258040
89,Salem (North),,116011,122624,50,238685
90,Salem (South),,111277,115554,49,226880
91,Veerapandi,,125773,124714,17,250504
